Country,Country Code,Year,Internet Users (%),Fixed Broadband Subscriptions (per 100),Mobile Cellular Subscriptions (per 100),GDP per capita,Development_Group
United States,USA,2000,"43,0792","2,51164","38,76720665","48616,25463",Developed
United States,USA,2001,"49,0808","4,50008","45,01340879","48597,42461",Developed
United States,USA,2002,"58,7854","6,92533","49,17630521","48967,36612",Developed
United States,USA,2003,"61,6971","9,57005","55,18089359","49905,52331",Developed
United States,USA,2004,"64,7583","12,7576","62,87475074","51348,34734",Developed
United States,USA,2005,"67,9681","17,2991","68,62220987","52649,57131",Developed
United States,USA,2006,"68,9312","20,1646","76,59637266","53596,31524",Developed
United States,USA,2007,75,"23,7553","82,34696473","54152,82927",Developed
United States,USA,2008,74,"25,291","85,47738005","53703,9629",Developed
United States,USA,2009,71,"25,9695","88,90512135","51863,61834",Developed
United States,USA,2010,"71,69","27,172","91,6239454","52821,40476",Developed
United States,USA,2011,"69,7295","28,117","94,75188415","53259,25521",Developed
United States,USA,2012,"74,7","29,1736","96,26929679","54080,22865",Developed
United States,USA,2013,"71,4","29,9996","97,28308055","54844,24258",Developed
United States,USA,2014,73,"30,2709","100,1748375","55817,56325",Developed
United States,USA,2015,"74,5542","31,3412","102,3083933","57040,20821",Developed
United States,USA,2016,"85,5444","32,1144","103,3702501","57658,67088",Developed
United States,USA,2017,"87,2749","32,5703","103,1297891","58703,14408",Developed
United States,USA,2018,"88,4989","33,0559","104,847944","60127,21028",Developed
United States,USA,2019,"89,4303","33,8352","106,4140195","61330,64598",Developed
United States,USA,2020,"96,5768","35,7157","104,9353748","59394,77833",Developed
Japan,JPN,2000,"29,9907","0,672809","52,66746097","31430,63113",Developed
Japan,JPN,2001,"38,5321","3,01351","58,88224733","31476,05207",Developed
Japan,JPN,2002,"46,5942","7,37142","63,72129527","31416,12418",Developed
Japan,JPN,2003,"48,4353","11,684","67,96345216","31830,21758",Developed
Japan,JPN,2004,"62,3939","15,301","71,64805919","32515,1158",Developed
Japan,JPN,2005,"66,9211","18,2163","75,49704878","33098,54747",Developed
Japan,JPN,2006,"68,6853","20,6558","78,04871672","33531,51856",Developed
Japan,JPN,2007,"74,3","22,0966","83,854384","33990,03603",Developed
Japan,JPN,2008,"75,4","23,5008","86,1938134","33557,6454",Developed
Japan,JPN,2009,78,"25,6358","90,7727623","31651,08377",Developed
Japan,JPN,2010,"78,21","26,6035","96,23879646","32942,20208",Developed
Japan,JPN,2011,"79,0541","27,8667","103,7137488","33011,13423",Developed
Japan,JPN,2012,"79,4964","28,2443","110,3834252","33518,44494",Developed
Japan,JPN,2013,"88,2194","28,9051","115,827725","34239,88625",Developed
Japan,JPN,2014,"89,1068","29,6415","123,8316866","34386,90586",Developed
Japan,JPN,2015,"91,058","30,542","126,1756831","34960,63938",Developed
Japan,JPN,2016,"93,1827","31,3036","131,3864746","35242,19938",Developed
Japan,JPN,2017,"91,7265","31,8991","136,4176676","35861,97285",Developed
Japan,JPN,2018,"88,7464","32,6965","142,4668807","36138,52908",Developed
Japan,JPN,2019,"92,7304","33,5459","148,2722187","36043,7844",Developed
Japan,JPN,2020,"90,2195","34,8371","155,7389638","34650,79678",Developed
Germany,DEU,2000,"30,2163","0,323972","59,10608068","34490,07577",Developed
Germany,DEU,2001,"31,6509","2,56304","68,85395013","35011,06846",Developed
Germany,DEU,2002,"48,82","3,90528","72,60008929","34883,05807",Developed
Germany,DEU,2003,"55,9","5,44381","79,65893192","34619,66407",Developed
Germany,DEU,2004,"64,73","8,52694","87,76291359","35034,08061",Developed
Germany,DEU,2005,"68,71","13,1471","97,6097572","35310,47047",Developed
Germany,DEU,2006,"72,16","18,3315","105,5115846","36699,44678",Developed
Germany,DEU,2007,"75,16","24,2949","118,5370597","37842,35779",Developed
Germany,DEU,2008,78,"27,9989","129,9265409","38278,31301",Developed
Germany,DEU,2009,79,"30,8451","129,2138879","36190,39289",Developed
Germany,DEU,2010,82,"32,3663","108,6995416","37760,91363",Developed
Germany,DEU,2011,"81,27","33,7099","111,6386991","39977,34171",Developed
Germany,DEU,2012,"82,35","34,5501","113,3108833","40069,35396",Developed
Germany,DEU,2013,"84,17","35,3423","122,4697309","40135,01583",Developed
Germany,DEU,2014,"86,1937","36,3409","121,5873792","40851,16173",Developed
Germany,DEU,2015,"87,5898","37,4127","117,4073504","41103,25644",Developed
Germany,DEU,2016,"84,1652","38,4991","125,6749823","41682,03224",Developed
Germany,DEU,2017,"84,3942","39,9888","132,7695384","42639,55441",Developed
Germany,DEU,2018,"87,0371","40,9651","129,6794748","42928,74124",Developed
Germany,DEU,2019,"88,1345","42,1156","128,9265144","43292,68389",Developed
Germany,DEU,2020,"89,8129","43,3049","128,8867207","41601,97316",Developed
United Kingdom,GBR,2000,"26,8218","0,089557","73,83511897","38918,45506",Developed
United Kingdom,GBR,2001,"33,4811","0,558223","78,32360974","39768,66635",Developed
United Kingdom,GBR,2002,"56,48","2,27824","82,93728874","40310,30494",Developed
United Kingdom,GBR,2003,"64,82","5,20509","90,95792762","41385,54047",Developed
United Kingdom,GBR,2004,"65,61","10,1777","99,4867395","42149,27034",Developed
United Kingdom,GBR,2005,70,"16,3355","108,4259834","43007,36292",Developed
United Kingdom,GBR,2006,"68,82","21,3149","115,252733","43711,15502",Developed
United Kingdom,GBR,2007,"75,09","25,3608","120,527906","44508,6058",Developed
United Kingdom,GBR,2008,"78,39","27,9071","121,3772695","44060,0031",Developed
United Kingdom,GBR,2009,"83,56","28,6007","122,8742004","41709,96617",Developed
United Kingdom,GBR,2010,85,"30,3961","122,2590493","42310,74991",Developed
United Kingdom,GBR,2011,"85,38","32,4187","121,9256338","42462,10673",Developed
United Kingdom,GBR,2012,"87,48","33,9048","122,7564922","42805,84252",Developed
United Kingdom,GBR,2013,"89,8441","35,782","122,3501829","43282,20975",Developed
United Kingdom,GBR,2014,"91,6133","36,5828","121,1308315","44337,67864",Developed
United Kingdom,GBR,2015,"92,0003","37,7215","121,5048919","44964,39114",Developed
United Kingdom,GBR,2016,"94,7758","38,6589","120,2210676","45482,17829",Developed
United Kingdom,GBR,2017,"90,4246","39,2489","119,7294099","46373,63853",Developed
United Kingdom,GBR,2018,"90,692","39,8294","118,7527408","46740,55359",Developed
United Kingdom,GBR,2019,"92,5166","40,0228","120,8484884","47240,59962",Developed
United Kingdom,GBR,2020,"94,8182","40,5775","117,8163133","42191,91737",Developed
Canada,CAN,2000,"51,3","4,56733","28,44217078","37906,86012",Developed
Canada,CAN,2001,"60,2","9,08579","34,34855145","38200,45611",Developed
Canada,CAN,2002,"61,5933","11,1461","37,90258971","38921,6673",Developed
Canada,CAN,2003,"64,2","14,1756","42,03425423","39270,02345",Developed
Canada,CAN,2004,"65,956","16,8551","47,06742374","40108,75874",Developed
Canada,CAN,2005,"71,66","21,5905","52,82047544","41006,22293",Developed
Canada,CAN,2006,"72,4","24,555","57,63302795","41663,51231",Developed
Canada,CAN,2007,"73,2","27,4244","61,70384455","42106,87243",Developed
Canada,CAN,2008,"76,7","29,4247","66,5065332","42067,5687",Developed
Canada,CAN,2009,"80,3","30,4201","70,88158252","40376,41537",Developed
Canada,CAN,2010,"80,3","31,6318","76,03888561","41164,33991",Developed
Canada,CAN,2011,83,"32,6506","78,19708293","42043,64196",Developed
Canada,CAN,2012,83,"33,4739","79,90342869","42320,64313",Developed
Canada,CAN,2013,"85,8","34,2683","80,8813881","42851,17053",Developed
Canada,CAN,2014,"87,12","35,2694","81,31427412","43643,23565",Developed
Canada,CAN,2015,90,"36,4699","83,30038912","43594,1941",Developed
Canada,CAN,2016,"91,16","36,8233","85,15367591","43551,3426",Developed
Canada,CAN,2017,"92,7014","37,8277","86,70104032","44339,38867",Developed
Canada,CAN,2018,"94,64","38,7334","89,67401709","44907,34368",Developed
Canada,CAN,2019,"91,9129","40,0768","91,59004081","45100,29149",Developed
Canada,CAN,2020,"92,3","40,795","85,40841921","42366,12852",Developed
China,CHN,2000,"1,77591","0,00178484","6,744724531","2193,896866",Developing
China,CHN,2001,"2,63965","0,0262981","11,37860424","2359,572385",Developing
China,CHN,2002,"4,5957","0,256319","16,08250443","2557,891612",Developing
China,CHN,2003,"6,2","0,866656","20,94488156","2797,176659",Developing
China,CHN,2004,"7,3","1,91534","25,81891467","3061,833173",Developing
China,CHN,2005,"8,52326","2,85109","30,14865123","3390,716159",Developing
China,CHN,2006,"10,5232","3,85819","35,11253649","3800,765796",Developing
China,CHN,2007,16,"5,0093","41,41509824","4319,031398",Developing
China,CHN,2008,"22,6","6,21365","48,20785124","4711,643449",Developing
China,CHN,2009,"28,9","7,74497","55,79864972","5128,904128",Developing
China,CHN,2010,"34,3","9,34748","63,71521287","5647,068727",Developing
China,CHN,2011,"38,3","11,5043","72,67381064","6152,696873",Developing
China,CHN,2012,"42,3001","12,7916","81,38349829","6591,662494",Developing
China,CHN,2013,"45,8","13,6989","89,31856151","7056,423092",Developing
China,CHN,2014,"47,9","14,4445","92,84598562","7532,785301",Developing
China,CHN,2015,"50,3","19,8438","92,70071605","8016,445595",Developing
China,CHN,2016,"53,2","22,9761","97,36386675","8516,528742",Developing
China,CHN,2017,"54,3","27,9101","104,2265872","9053,228725",Developing
China,CHN,2018,"59,2","28,7089","116,3882038","9619,209475",Developing
